6.51,1
6.25,2
6.15,3
5.79,4
7.36,5
7.3,6
7.21,7
7.6,8
7.3,9
6.52,10
6.65,11
6.34,12
6.68,13
6.49,14
6.4,15
6.24,16
6.13,17
6.33,18
6.46,19
6.67,20
7.42,21
6.81,22
7.07,23
7.32,24
7.12,25
7.1,26
6.98,27
6.94,28
6.79,29
6.86,30
6.9,31
6.87,32
6.84,33
6.96,34
7.2,35
7.2,36
6.92,37
6.9,38
7.14,39
6.84,40
6.91,41
6.98,42
6.8,43
6.61,44
6.88,45
6.85,46
6.35,47
6.12,48
6.54,49
6.06,50
6.14,51
6,52
6.14,53
5.88,54
6.11,55
5.67,56
5.55,57
5.64,58
5.25,59
4.95,60
5.35,61
5.85,62
5.49,63
5.59,64
5.3,65
5.22,66
5.68,67
5.62,68
5.26,69
5.35,70
5.22,71
5.36,72
5.57,73
5.7,74
6.45,75
6.18,76
6.08,77
6.43,78
5.93,79
5.79,80
5.74,81
5.63,82
5.67,83
5.5,84
5.4,85
5.29,86
5.36,87
5.35,88
5.36,89
5.06,90
5.34,91
5.12,92
5.39,93
5.32,94
5.09,95
5.3,96
5.14,97
5.01,98
5.06,99
5.32,100
5.32,101
5.36,102
5.39,103
5.3,104
5.57,105
5.3,106
5.33,107
5.14,108
5.21,109
5.28,110
4.95,111
5.12,112
5.14,113
5.2,114
5.06,115
5.21,116
5.1,117
5.1,118
5.16,119
5.15,120
5.08,121
5.11,122
5.28,123
5.19,124
5.25,125
5.17,126
5.11,127
5.42,128
5.39,129
5.57,130
5.6,131
5.6,132
5.47,133
5.33,134
5.42,135
5.3,136
5.34,137
5.34,138
5.39,139
5.35,140
5.3,141
5.45,142
5.7,143
5.53,144
5.49,145
5.75,146
5.96,147
5.91,148
5.69,149
5.68,150
5.65,151
5.71,152
5.68,153
5.56,154
5.63,155
5.67,156
6.07,157
6.42,158
6.31,159
6.11,160
5.95,161
5.73,162
5.5,163
5.72,164
5.86,165
5.82,166
5.62,167
5.62,168
5.41,169
5.55,170
5.5,171
5.27,172
5.24,173
5.73,174
5.62,175
5.64,176
5.55,177
5.67,178
5.52,179
5.35,180
5.49,181
5.48,182
5.53,183
5.35,184
5.2,185
4.9,186
4.26,187
4.36,188
4.14,189
4.13,190
3.26,191
3.74,192
3.84,193
3.7,194
3.83,195
3.67,196
3.8,197
3.39,198
3.31,199
3.19,200
3.01,201
2.7,202
2.45,203
2.5,204
2.32,205
2.58,206
2.6,207
2.54,208
2.6,209
2.55,210
2.72,211
2.63,212
2.68,213
2.79,214
2.69,215
2.82,216
2.84,217
2.84,218
2.76,219
2.88,220
3,221
3.39,222
3.74,223
4.32,224
4.86,225
4.59,226
4.28,227
3.98,228
3.82,229
4.13,230
3.98,231
3.85,232
3.46,233
3.69,234
3.66,235
3.53,236
3.72,237
3.79,238
3.89,239
3.97,240
3.98,241
3.98,242
3.96,243
3.75,244
3.86,245
3.77,246
3.73,247
3.8,248
3.78,249
3.78,250
3.83,251
3.96,252
3.95,253
19.209999,254
